Pre Synaptic Neuron ID,Post Synaptic Neuron ID,Weight
0,15,1.0
0,28,1.0
0,33,1.0
0,47,1.0
0,59,2.0
0,67,2.0
0,69,1.0
0,70,1.0
0,75,18.0
0,96,17.0
0,102,3.0
0,109,2.0
0,142,5.0
0,160,1.0
1,24,3.0
1,29,1.0
1,48,1.0
1,76,13.0
1,97,12.0
1,103,4.0
1,104,1.0
1,109,5.0
1,139,1.0
1,141,1.0
1,143,3.0
2,11,1.0
2,13,1.0
2,15,9.0
2,21,5.0
2,26,1.0
2,28,1.0
2,30,2.0
2,31,1.0
2,65,2.0
2,67,8.0
2,69,18.0
2,77,16.0
2,79,1.0
2,81,1.0
2,82,15.0
2,83,1.0
2,88,1.0
2,142,9.0
2,160,1.0
2,161,1.0
2,162,3.0
3,12,2.0
3,16,3.0
3,27,1.0
3,29,1.0
3,31,10.0
3,48,2.0
3,64,1.0
3,68,13.0
3,70,12.0
3,77,3.0
3,78,11.0
3,81,9.0
3,82,1.0
3,89,1.0
3,143,1.0
3,162,1.0
4,12,1.0
4,28,1.0
4,33,1.0
4,72,1.0
4,73,10.0
4,75,1.0
5,32,2.0
5,74,10.0
6,25,1.0
6,82,1.0
6,85,9.0
6,88,10.0
6,91,1.0
6,100,1.0
6,166,4.0
6,168,4.0
6,176,1.0
7,81,2.0
7,82,2.0
7,86,6.0
7,89,7.0
7,91,1.0
7,101,1.0
7,153,2.0
7,167,4.0
7,169,5.0
8,53,10.0
8,117,1.0
8,141,4.0
8,146,1.0
8,147,1.0
8,152,1.0
9,54,9.0
9,77,2.0
9,97,1.0
9,140,4.0
9,144,1.0
9,179,1.0
9,193,1.0
10,24,1.0
10,32,3.0
10,33,8.0
10,35,1.0
10,69,1.0
10,77,7.0
10,78,6.0
10,79,3.0
10,80,2.0
10,81,1.0
10,82,2.0
10,88,5.0
10,89,5.0
10,92,2.0
10,93,1.0
10,96,9.0
10,97,8.0
10,109,9.0
10,114,1.0
11,2,2.0
11,4,1.0
11,5,2.0
11,13,2.0
11,30,5.0
11,31,1.0
11,32,1.0
11,33,1.0
11,67,1.0
11,69,13.0
11,70,3.0
11,71,1.0
11,73,11.0
11,74,6.0
11,97,1.0
12,4,3.0
12,5,2.0
12,18,1.0
12,27,1.0
12,31,9.0
12,68,1.0
12,69,6.0
12,70,15.0
12,73,11.0
12,74,21.0
12,75,1.0
13,19,1.0
13,67,9.0
13,69,1.0
13,75,1.0
13,154,3.0
13,168,1.0
13,216,1.0
14,68,10.0
14,70,3.0
15,2,3.0
15,26,1.0
15,28,2.0
15,59,2.0
15,65,3.0
15,67,11.0
15,68,1.0
15,69,7.0
15,75,1.0
15,77,15.0
15,79,11.0
15,81,1.0
15,82,7.0
15,83,2.0
15,96,1.0
15,100,1.0
15,142,1.0
15,160,1.0
15,162,1.0
15,170,1.0
15,171,1.0
15,172,2.0
15,178,3.0
16,1,1.0
16,3,4.0
16,27,1.0
16,29,1.0
16,66,2.0
16,67,1.0
16,68,12.0
16,70,7.0
16,74,1.0
16,77,2.0
16,78,18.0
16,80,11.0
16,81,10.0
16,82,3.0
16,84,2.0
16,88,2.0
16,97,1.0
16,106,1.0
16,155,1.0
16,159,2.0
16,161,1.0
16,170,1.0
16,171,2.0
16,179,1.0
17,12,1.0
17,13,5.0
17,15,1.0
17,21,1.0
17,30,10.0
17,31,8.0
17,67,3.0
17,68,2.0
17,69,4.0
17,70,2.0
17,168,1.0
17,214,2.0
17,216,3.0
18,5,1.0
18,14,3.0
18,27,1.0
18,29,1.0
18,30,4.0
18,31,6.0
18,68,6.0
18,70,7.0
18,74,2.0
18,215,1.0
18,217,8.0
19,21,4.0
19,67,1.0
19,156,1.0
19,172,14.0
20,22,4.0
20,72,1.0
20,156,1.0
20,173,13.0
20,217,1.0
21,2,2.0
21,13,1.0
21,17,1.0
21,28,1.0
21,65,1.0
21,67,25.0
21,69,6.0
21,71,1.0
21,137,1.0
21,145,1.0
21,154,2.0
21,172,1.0
22,3,2.0
22,12,2.0
22,21,1.0
22,67,1.0
22,68,29.0
22,70,6.0
22,155,11.0
22,157,1.0
22,158,1.0
22,170,2.0
22,171,1.0
22,173,1.0
23,0,2.0
23,34,3.0
23,59,4.0
23,72,2.0
23,77,8.0
23,83,10.0
23,96,20.0
23,98,13.0
23,109,1.0
24,60,1.0
24,71,1.0
24,78,7.0
24,84,10.0
24,97,18.0
24,99,20.0
25,6,2.0
25,35,1.0
25,79,6.0
25,80,7.0
25,82,1.0
25,85,3.0
25,86,2.0
25,88,11.0
25,89,5.0
25,91,1.0
25,161,2.0
25,162,4.0
26,0,2.0
26,2,1.0
26,4,5.0
26,11,3.0
26,13,1.0
26,17,1.0
26,28,5.0
26,67,3.0
26,73,5.0
26,75,17.0
26,154,1.0
26,171,2.0
26,172,1.0
27,1,1.0
27,3,2.0
27,5,6.0
27,12,9.0
27,14,1.0
27,16,2.0
27,29,6.0
27,68,1.0
27,74,4.0
27,76,9.0
27,101,1.0
27,103,1.0
28,0,10.0
28,15,1.0
28,23,1.0
28,26,1.0
28,67,3.0
28,75,8.0
28,96,1.0
28,102,2.0
28,109,2.0
28,142,3.0
28,160,2.0
29,0,1.0
29,1,10.0
29,24,1.0
29,27,1.0
29,68,2.0
29,74,1.0
29,76,6.0
29,97,1.0
29,103,2.0
29,155,1.0
29,159,1.0
30,5,2.0
30,18,1.0
30,31,13.0
30,32,2.0
30,33,2.0
30,39,1.0
30,67,2.0
30,68,2.0
30,69,8.0
30,70,3.0
