Neuron ID,Color Name
0,ADFL
1,ADFR
2,ADLL
3,ADLR
4,AFDL
5,AFDR
6,ALML
7,ALMR
8,ALNL
9,ALNR
10,AQR
11,ASEL
12,ASER
13,ASGL
14,ASGR
15,ASHL
16,ASHR
17,ASIL
18,ASIR
19,ASJL
20,ASJR
21,ASKL
22,ASKR
23,AUAL
24,AUAR
25,AVM
26,AWAL
27,AWAR
28,AWBL
29,AWBR
30,AWCL
31,AWCR
32,BAGL
33,BAGR
34,DVA
35,FLPL
36,FLPR
37,IL2DL
38,IL2DR
39,IL2L
40,IL2R
41,IL2VL
42,IL2VR
43,OLLL
44,OLLR
45,OLQDL
46,OLQDR
47,OLQVL
48,OLQVR
49,PLNL
50,PLNR
51,SAADL
52,SAADR
53,SAAVL
54,SAAVR
55,SDQL
56,SDQR
57,URBL
58,URBR
59,URXL
60,URXR
61,URYDL
62,URYDR
63,URYVL
64,URYVR
65,ADAL
66,ADAR
67,AIAL
68,AIAR
69,AIBL
70,AIBR
71,AINL
72,AINR
73,AIYL
74,AIYR
75,AIZL
76,AIZR
77,AVAL
78,AVAR
79,AVBL
80,AVBR
81,AVDL
82,AVDR
83,AVEL
84,AVER
85,BDUL
86,BDUR
87,DVC
88,PVCL
89,PVCR
90,PVNL
91,PVNR
92,PVPL
93,PVPR
94,PVR
95,PVT
96,RIAL
97,RIAR
98,RIBL
99,RIBR
100,RIFL
101,RIFR
102,RIGL
103,RIGR
104,RIH
105,RIML
106,RIMR
107,RIPL
108,RIPR
109,RIR
110,IL1DL
111,IL1DR
112,IL1L
113,IL1R
114,IL1VL
115,IL1VR
116,RIVL
117,RIVR
118,RMDDL
119,RMDDR
120,RMDL
121,RMDR
122,RMDVL
123,RMDVR
124,RMED
125,RMEL
126,RMER
127,RMEV
128,RMFL
129,RMFR
130,RMHL
131,RMHR
132,SIADL
133,SIADR
134,SIAVL
135,SIAVR
136,SIBDL
137,SIBDR
138,SIBVL
139,SIBVR
140,SMBDL
141,SMBDR
142,SMBVL
143,SMBVR
144,SMDDL
145,SMDDR
146,SMDVL
147,SMDVR
148,URADL
149,URADR
150,URAVL
151,URAVR
152,ADEL
153,ADER
154,AIML
155,AIMR
156,ALA
157,AVFL
158,AVFR
159,AVHL
160,AVHR
161,AVJL
162,AVJR
163,AVKL
164,AVKR
165,AVL
166,CEPDL
167,CEPDR
168,CEPVL
169,CEPVR
170,HSNL
171,HSNR
172,PVQL
173,PVQR
174,RICL
175,RICR
176,RID
177,RIS
178,RMGL
179,RMGR
180,BWM-DL01
181,BWM-DR01
182,BWM-VL01
183,BWM-VR01
184,BWM-DL02
185,BWM-DR02
186,BWM-VL02
187,BWM-VR02
188,BWM-DL03
189,BWM-DR03
190,BWM-VL03
191,BWM-VR03
192,BWM-DL04
193,BWM-DR04
194,BWM-VL04
195,BWM-VR04
196,BWM-DL05
197,BWM-DR05
198,BWM-VL05
199,BWM-VR05
200,BWM-DL06
201,BWM-DR06
202,BWM-VL06
203,BWM-VR06
204,BWM-DL07
205,BWM-DR07
206,BWM-VL07
207,BWM-VR07
208,BWM-DL08
209,BWM-DR08
210,BWM-VL08
211,BWM-VR08
212,CANL
213,CANR
214,CEPshDL
215,CEPshDR
216,CEPshVL
217,CEPshVR
218,GLRDL
219,GLRDR
220,GLRL
221,GLRR
222,GLRVL
223,GLRVR
224,excgl
